ID,Sex,Bachelor,Age,Graduated,Career,Work Experience,Family Expenses,Family  Size,Variable,Description
1462224733,Male,No,36,No,Scientist,3,Low,3,Dog_6,The specimen is reliable and experienced.
1462219661,Female,Yes,88,Yes,Lawyer,1,Low,1,Dog_6,The specimen is reliable and experienced.
1462219583,Male,No,37,Yes,Singer,9,Low,1,Dog_6,The specimen is reliable and experienced.
1462223724,Female,Yes,42,No,Content Creation,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462222488,Female,Yes,66,Yes,Fashion Designer,0,High,3,Dog_6,The specimen is reliable and experienced.
1462218483,,Yes,38,Yes,Scientist,,Average,,Dog_4,The specimen is reliable and experienced.
1462225005,Female,Yes,60,Yes,Lawyer,1,High,3,Dog_6,The specimen is reliable and experienced.
1462222700,Female,Yes,58,Yes,Housewife,2,Low,1,Dog_6,The specimen is reliable and experienced.
1462218725,Male,Yes,59,Yes,Fashion Designer,0,Average,6,Dog_6,The specimen is reliable and experienced.
1462221145,Female,Yes,32,Yes,Housewife,4,High,2,Dog_3,The specimen is reliable and experienced.
1462225561,Female,Yes,37,Yes,,0,Low,,Dog_6,The specimen is reliable and experienced.
1462219430,Male,Yes,37,Yes,Fashion Designer,0,Average,3,Dog_6,The specimen is reliable and experienced.
1462226410,Male,Yes,53,Yes,HR,9,High,4,Dog_6,The specimen is reliable and experienced.
1462220909,Female,No,31,Yes,Scientist,0,Low,4,Dog_3,The specimen is reliable and experienced.
1462222162,Male,Yes,27,Yes,Doctor,2,High,3,Dog_3,The specimen is responsible and hardworking.
1462219449,Male,No,19,No,Scientist,,Low,5,Dog_3,The specimen is rather joyful than responsible.
1462226241,Female,Yes,58,Yes,Fashion Designer,,Average,2,Dog_6,The specimen is reliable and experienced.
1462222664,Female,Yes,37,Yes,Housewife,3,High,3,Dog_6,The specimen is reliable and experienced.
1462219693,Female,Yes,46,Yes,Fashion Designer,1,Average,4,Dog_6,The specimen is reliable and experienced.
1462223259,Female,Yes,27,Yes,Scientist,0,Average,4,Dog_7,The specimen is responsible and hardworking.
1462219639,Male,No,22,No,Scientist,2,Low,4,Dog_6,The specimen is responsible and hardworking.
1462220466,Male,Yes,84,No,Lawyer,1,High,2,Dog_6,The specimen is reliable and experienced.
1462219074,Male,Yes,29,No,HR,1,High,2,Dog_6,The specimen is responsible and hardworking.
1462219258,Male,Yes,66,Yes,Singer,0,Average,3,Dog_6,The specimen is reliable and experienced.
1462223148,Female,No,26,Yes,Doctor,0,Low,4,Dog_2,The specimen is responsible and hardworking.
1462226510,Male,Yes,40,Yes,Fashion Designer,13,High,1,Dog_4,The specimen is reliable and experienced.
1462219003,Male,Yes,51,Yes,Scientist,1,Average,5,Dog_6,The specimen is reliable and experienced.
1462223534,Male,Yes,41,Yes,Scientist,9,Average,2,Dog_2,The specimen is reliable and experienced.
1462222883,Male,Yes,77,Yes,Lawyer,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462221306,Female,No,18,No,Doctor,0,Low,5,Dog_6,The specimen is rather joyful than responsible.
1462222898,Male,No,31,Yes,Fashion Designer,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462226232,Male,No,42,Yes,Scientist,8,Low,1,Dog_2,The specimen is reliable and experienced.
1462220818,Female,,50,Yes,Fashion Designer,,High,1,,The specimen is reliable and experienced.
1462225784,Male,No,36,Yes,Fashion Designer,,Low,2,Dog_2,The specimen is reliable and experienced.
1462219304,Female,No,32,Yes,Singer,1,Low,3,Dog_6,The specimen is reliable and experienced.
1462224379,Male,Yes,51,Yes,Fashion Designer,,Average,4,Dog_6,The specimen is reliable and experienced.
1462222492,Female,No,42,Yes,Fashion Designer,8,Low,2,Dog_6,The specimen is reliable and experienced.
1462223453,Female,No,33,No,Scientist,0,Low,7,Dog_4,The specimen is reliable and experienced.
1462225345,Female,No,33,No,Doctor,1,Low,6,Dog_3,The specimen is reliable and experienced.
1462225850,Male,Yes,53,Yes,HR,1,High,4,Dog_6,The specimen is reliable and experienced.
1462223367,Female,Yes,31,Yes,Scientist,1,Low,2,Dog_6,The specimen is reliable and experienced.
1462220487,Female,Yes,25,No,Scientist,1,Average,2,Dog_4,The specimen is responsible and hardworking.
1462224393,Female,Yes,49,Yes,Scientist,0,Low,1,Dog_2,The specimen is reliable and experienced.
1462222587,Male,No,27,Yes,Fashion Designer,1,Low,3,Dog_6,The specimen is responsible and hardworking.
1462223273,Female,Yes,43,Yes,Fashion Designer,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462223384,Female,Yes,35,Yes,Fashion Designer,7,High,4,Dog_7,The specimen is reliable and experienced.
1462218975,Male,Yes,58,Yes,Fashion Designer,0,Average,3,Dog_7,The specimen is reliable and experienced.
1462219427,Male,Yes,43,Yes,Fashion Designer,6,Average,3,Dog_6,The specimen is reliable and experienced.
1462221618,Male,Yes,46,Yes,Singer,,Average,4,Dog_6,The specimen is reliable and experienced.
1462219745,Male,Yes,83,No,Lawyer,1,Low,1,Dog_6,The specimen is reliable and experienced.
1462219425,Male,Yes,88,Yes,Lawyer,,Low,,Dog_6,The specimen is reliable and experienced.
1462221611,Female,No,22,No,Doctor,0,Low,6,Dog_6,The specimen is responsible and hardworking.
1462218701,Male,No,62,Yes,,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462221639,Female,Yes,25,No,Singer,2,Low,2,Dog_6,The specimen is responsible and hardworking.
1462224722,Male,Yes,53,Yes,Singer,1,Average,2,Dog_6,The specimen is reliable and experienced.
1462223104,Female,Yes,47,Yes,Scientist,1,Average,2,Dog_4,The specimen is reliable and experienced.
1462221791,Female,Yes,50,Yes,Scientist,0,Average,2,Dog_7,The specimen is reliable and experienced.
1462220264,Female,Yes,38,Yes,Housewife,0,Low,2,Dog_4,The specimen is reliable and experienced.
1462219838,Female,No,37,Yes,Singer,1,Low,2,Dog_2,The specimen is reliable and experienced.
1462225531,Male,Yes,27,Yes,Fashion Designer,4,Average,2,Dog_6,The specimen is responsible and hardworking.
1462220822,,Yes,43,No,Scientist,1,Average,2,Dog_6,The specimen is reliable and experienced.
1462225595,Male,Yes,41,Yes,Fashion Designer,1,Average,2,Dog_6,The specimen is reliable and experienced.
1462226325,,Yes,,Yes,Singer,2,Average,2,Dog_6,The specimen is reliable and experienced.
1462226307,Male,No,32,No,HR,0,Low,2,Dog_3,The specimen is reliable and experienced.
1462224117,Male,No,23,No,Doctor,1,Low,4,Dog_4,The specimen is responsible and hardworking.
1462222933,Female,Yes,77,Yes,Lawyer,6,High,2,Dog_6,The specimen is reliable and experienced.
1462223490,Female,No,31,No,Doctor,0,Low,5,Dog_2,The specimen is reliable and experienced.
1462226399,Male,Yes,,Yes,Scientist,1,Average,2,Dog_6,The specimen is reliable and experienced.
1462219237,Male,Yes,61,Yes,Fashion Designer,1,Low,2,Dog_6,The specimen is reliable and experienced.
1462223112,Male,No,33,Yes,Singer,1,Low,8,Dog_4,The specimen is reliable and experienced.
1462221980,Female,Yes,50,Yes,Fashion Designer,1,High,3,Dog_2,The specimen is reliable and experienced.
1462221153,Female,No,38,Yes,Scientist,,Low,1,Dog_6,The specimen is reliable and experienced.
1462222766,Male,Yes,88,No,Fashion Designer,7,Low,1,Dog_6,The specimen is reliable and experienced.
1462225363,Male,Yes,69,No,Scientist,0,Average,3,Dog_6,The specimen is reliable and experienced.
1462225404,Male,Yes,66,Yes,HR,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462225492,Male,Yes,48,Yes,HR,1,High,3,Dog_6,The specimen is reliable and experienced.
1462224659,Female,Yes,66,No,Scientist,6,Average,4,Dog_5,The specimen is reliable and experienced.
1462221832,Male,Yes,41,Yes,Fashion Designer,4,Average,3,Dog_6,The specimen is reliable and experienced.
1462223293,Male,Yes,50,Yes,Scientist,0,Average,8,Dog_6,The specimen is reliable and experienced.
1462222947,Male,Yes,40,Yes,Fashion Designer,14,Low,1,Dog_6,The specimen is reliable and experienced.
1462222689,Male,Yes,80,No,Fashion Designer,1,Low,2,Dog_6,The specimen is reliable and experienced.
1462222403,Male,Yes,39,Yes,Doctor,7,Average,5,Dog_3,The specimen is reliable and experienced.
1462220534,Female,Yes,36,Yes,Fashion Designer,4,High,7,Dog_6,The specimen is reliable and experienced.
1462218780,Male,Yes,40,Yes,Fashion Designer,3,High,3,Dog_6,The specimen is reliable and experienced.
1462220596,Female,Yes,38,Yes,Fashion Designer,0,Average,3,Dog_6,The specimen is reliable and experienced.
1462224324,Female,No,26,Yes,Doctor,1,Low,5,Dog_4,The specimen is responsible and hardworking.
1462226463,Female,Yes,38,Yes,Fashion Designer,1,Low,2,Dog_3,The specimen is reliable and experienced.
1462222314,Male,Yes,40,Yes,HR,,High,3,Dog_6,The specimen is reliable and experienced.
1462219448,Female,Yes,75,Yes,Housewife,1,High,,Dog_6,The specimen is reliable and experienced.
1462220980,Male,Yes,73,No,HR,0,High,2,Dog_6,The specimen is reliable and experienced.
1462220365,Male,No,25,Yes,Doctor,0,Low,,Dog_3,The specimen is responsible and hardworking.
1462224078,Male,Yes,67,Yes,Lawyer,0,High,2,Dog_2,The specimen is reliable and experienced.
1462218710,Male,No,40,No,Content Creation,1,Low,1,Dog_4,The specimen is reliable and experienced.
1462224034,Male,Yes,21,No,Singer,0,Low,3,Dog_6,The specimen is responsible and hardworking.
1462224240,Male,Yes,68,No,HR,1,High,2,Dog_6,The specimen is reliable and experienced.
1462225030,Female,Yes,58,Yes,Fashion Designer,4,Average,5,Dog_6,The specimen is reliable and experienced.
1462224154,Female,Yes,66,Yes,Scientist,0,Low,2,Dog_6,The specimen is reliable and experienced.
1462220067,Female,Yes,35,Yes,Scientist,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462222995,Male,No,38,Yes,Singer,1,Low,2,Dog_2,The specimen is reliable and experienced.
1462225672,Female,No,27,,Content Creation,8,Low,4,Dog_4,The specimen is responsible and hardworking.
1462218699,Male,Yes,25,No,Scientist,,Average,2,Dog_4,The specimen is responsible and hardworking.
1462221217,Female,No,28,No,Singer,0,Low,5,Dog_2,The specimen is responsible and hardworking.
1462220810,Male,Yes,53,Yes,,,Average,3,Dog_6,The specimen is reliable and experienced.
1462221156,Male,Yes,51,Yes,Singer,1,Average,4,Dog_6,The specimen is reliable and experienced.
1462219830,Female,No,30,No,Doctor,0,Low,4,Dog_6,The specimen is reliable and experienced.
1462225465,Male,,52,No,Scientist,0,High,3,Dog_6,The specimen is reliable and experienced.
1462222406,Male,No,18,No,Doctor,0,Low,3,Dog_4,The specimen is rather joyful than responsible.
1462218881,Female,Yes,68,Yes,Fashion Designer,1,High,2,Dog_6,The specimen is reliable and experienced.
1462225083,Female,No,20,No,Doctor,0,Low,4,Dog_6,The specimen is responsible and hardworking.
1462221551,Male,No,25,No,Scientist,6,Low,1,Dog_6,The specimen is responsible and hardworking.
1462226367,Male,Yes,53,Yes,HR,0,Low,2,Dog_2,The specimen is reliable and experienced.
1462223369,Female,No,41,Yes,Fashion Designer,9,Low,1,Dog_6,The specimen is reliable and experienced.
1462224467,Female,No,47,Yes,Fashion Designer,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462221996,Female,Yes,52,No,Fashion Designer,1,Average,3,Dog_4,The specimen is reliable and experienced.
1462220843,Female,Yes,81,No,Scientist,0,High,2,Dog_6,The specimen is reliable and experienced.
1462221005,Female,Yes,47,Yes,Content Creation,,Average,3,Dog_6,The specimen is reliable and experienced.
1462218941,Female,No,20,No,Scientist,4,Low,4,Dog_6,The specimen is responsible and hardworking.
1462220879,Female,Yes,73,No,Fashion Designer,1,High,2,Dog_6,The specimen is reliable and experienced.
1462220320,Male,No,22,No,Scientist,0,Low,4,Dog_6,The specimen is responsible and hardworking.
1462225183,Female,Yes,80,Yes,Lawyer,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462221712,Male,Yes,51,Yes,Fashion Designer,1,Average,4,Dog_6,The specimen is reliable and experienced.
1462224330,Male,No,43,Yes,Fashion Designer,,Low,4,Dog_6,The specimen is reliable and experienced.
1462221528,Female,Yes,59,No,Housewife,,High,2,Dog_6,The specimen is reliable and experienced.
1462223693,Male,Yes,53,No,HR,,High,4,Dog_6,The specimen is reliable and experienced.
1462223822,Male,Yes,48,Yes,Singer,0,Low,2,Dog_6,The specimen is reliable and experienced.
1462220998,Male,No,26,No,Scientist,4,Low,,Dog_6,The specimen is responsible and hardworking.
1462219723,Female,No,33,Yes,Scientist,9,Low,2,Dog_6,The specimen is reliable and experienced.
1462225888,Male,Yes,73,No,HR,0,High,2,Dog_6,The specimen is reliable and experienced.
1462220730,Female,Yes,46,No,Scientist,0,High,3,Dog_4,The specimen is reliable and experienced.
1462220877,Male,No,31,No,HR,4,Low,5,Dog_1,The specimen is reliable and experienced.
1462225727,Female,No,23,No,Singer,0,Low,2,Dog_3,The specimen is responsible and hardworking.
1462225735,Male,Yes,38,No,HR,1,High,4,Dog_6,The specimen is reliable and experienced.
1462225862,Male,Yes,48,Yes,Fashion Designer,1,Average,3,Dog_6,The specimen is reliable and experienced.
1462218659,Female,No,20,No,Doctor,2,Low,6,Dog_6,The specimen is responsible and hardworking.
1462224130,Female,Yes,30,Yes,Housewife,9,Low,2,Dog_6,The specimen is reliable and experienced.
1462224612,Male,Yes,36,Yes,HR,,High,4,Dog_6,The specimen is reliable and experienced.
1462226124,Male,Yes,32,No,Singer,2,Low,2,Dog_3,The specimen is reliable and experienced.
1462221513,Female,Yes,52,Yes,Fashion Designer,0,Low,3,Dog_6,The specimen is reliable and experienced.
1462224701,Female,No,18,No,,0,Low,6,Dog_4,The specimen is rather joyful than responsible.
1462220462,Male,Yes,39,Yes,Fashion Designer,0,Average,2,Dog_2,The specimen is reliable and experienced.
1462222956,Male,Yes,25,Yes,Fashion Designer,3,Average,2,Dog_6,The specimen is responsible and hardworking.
1462226240,Female,No,31,No,Doctor,0,Low,5,Dog_2,The specimen is reliable and experienced.
1462225402,Female,Yes,48,Yes,Fashion Designer,3,High,3,Dog_4,The specimen is reliable and experienced.
1462221180,Female,Yes,49,Yes,Fashion Designer,1,Average,3,Dog_6,The specimen is reliable and experienced.
1462224151,Male,No,53,No,Scientist,1,Low,3,Dog_4,The specimen is reliable and experienced.
1462222712,Male,No,29,No,Singer,1,Low,5,Dog_6,The specimen is responsible and hardworking.
1462220438,Male,Yes,30,Yes,Fashion Designer,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462220878,Female,Yes,74,Yes,Lawyer,,Low,,Dog_6,The specimen is reliable and experienced.
1462220987,Male,Yes,55,Yes,Fashion Designer,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462224243,Male,Yes,49,Yes,Fashion Designer,0,Average,3,Dog_6,The specimen is reliable and experienced.
1462219957,Male,Yes,57,Yes,HR,7,High,2,Dog_6,The specimen is reliable and experienced.
1462225568,Male,No,38,Yes,Fashion Designer,,Low,1,Dog_6,The specimen is reliable and experienced.
1462222107,Male,Yes,40,Yes,HR,0,High,4,Dog_3,The specimen is reliable and experienced.
1462222482,Male,Yes,33,No,Scientist,0,Average,5,Dog_6,The specimen is reliable and experienced.
1462219040,Male,No,27,Yes,Doctor,8,Low,1,Dog_3,The specimen is responsible and hardworking.
1462221781,Female,No,48,No,Singer,2,Low,,Dog_4,The specimen is reliable and experienced.
1462226549,,Yes,,Yes,HR,0,Average,3,Dog_4,The specimen is reliable and experienced.
1462219708,Male,No,30,Yes,Singer,14,Low,1,Dog_6,The specimen is reliable and experienced.
1462220697,Female,No,56,Yes,Scientist,3,Low,1,Dog_6,The specimen is reliable and experienced.
1462225251,Female,No,22,No,Doctor,0,Low,4,Dog_4,The specimen is responsible and hardworking.
1462221448,Female,Yes,46,Yes,Fashion Designer,1,High,3,Dog_6,The specimen is reliable and experienced.
1462220814,,Yes,43,Yes,,,Low,2,Dog_6,The specimen is reliable and experienced.
1462225732,Male,Yes,45,Yes,HR,1,High,3,Dog_6,The specimen is reliable and experienced.
1462221038,Male,No,28,No,Fashion Designer,0,Low,2,Dog_6,The specimen is responsible and hardworking.
1462224966,Female,Yes,37,Yes,Fashion Designer,0,Low,3,Dog_6,The specimen is reliable and experienced.
1462221810,Male,No,18,No,Doctor,6,Low,7,Dog_6,The specimen is rather joyful than responsible.
1462221264,Male,Yes,29,Yes,Doctor,2,Average,2,Dog_2,The specimen is responsible and hardworking.
1462218698,Female,Yes,52,Yes,Scientist,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462225060,Female,Yes,65,Yes,Lawyer,1,Low,1,Dog_6,The specimen is reliable and experienced.
1462220174,Female,Yes,37,Yes,Fashion Designer,4,Average,2,Dog_2,The specimen is reliable and experienced.
1462225033,Male,Yes,58,No,HR,4,High,3,Dog_6,The specimen is reliable and experienced.
1462223790,Female,No,25,Yes,Scientist,0,Low,4,Dog_6,The specimen is responsible and hardworking.
1462224617,Male,Yes,25,,Fashion Designer,6,Low,1,Dog_6,The specimen is responsible and hardworking.
1462219624,Male,Yes,38,No,HR,5,High,3,Dog_6,The specimen is reliable and experienced.
1462222233,Female,Yes,52,Yes,Fashion Designer,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462223773,Female,Yes,45,Yes,Fashion Designer,3,High,4,Dog_2,The specimen is reliable and experienced.
1462218853,Female,No,60,Yes,Singer,1,Low,2,Dog_6,The specimen is reliable and experienced.
1462224235,Male,Yes,82,No,HR,1,High,4,Dog_4,The specimen is reliable and experienced.
1462218557,Female,No,33,No,Housewife,0,Low,3,Dog_6,The specimen is reliable and experienced.
1462221626,Male,Yes,43,Yes,Scientist,5,High,2,Dog_3,The specimen is reliable and experienced.
1462221393,Male,Yes,36,No,Scientist,0,Average,2,Dog_7,The specimen is reliable and experienced.
1462221066,Female,Yes,84,No,Lawyer,0,High,2,Dog_6,The specimen is reliable and experienced.
1462219769,Female,Yes,78,No,Housewife,,Low,1,Dog_6,The specimen is reliable and experienced.
1462224062,Male,Yes,31,No,Housewife,9,Low,1,Dog_4,The specimen is reliable and experienced.
1462223867,Female,No,27,Yes,Fashion Designer,0,Low,3,Dog_7,The specimen is responsible and hardworking.
1462218769,Male,No,26,Yes,Doctor,1,Low,2,Dog_3,The specimen is responsible and hardworking.
1462219315,Male,,60,Yes,Lawyer,1,High,1,Dog_6,The specimen is reliable and experienced.
1462221571,Male,Yes,61,No,Scientist,0,Low,4,Dog_6,The specimen is reliable and experienced.
1462224160,Female,No,30,Yes,Scientist,9,Low,5,Dog_6,The specimen is reliable and experienced.
1462219861,Male,Yes,58,Yes,Fashion Designer,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462222093,Male,Yes,39,Yes,Singer,9,Low,1,Dog_6,The specimen is reliable and experienced.
1462220420,Female,Yes,70,Yes,Scientist,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462221336,Female,No,42,No,Content Creation,5,Low,2,Dog_6,The specimen is reliable and experienced.
1462220171,Male,Yes,46,No,Fashion Designer,0,Average,,Dog_6,The specimen is reliable and experienced.
1462225751,Male,Yes,37,Yes,Singer,1,Average,4,Dog_6,The specimen is reliable and experienced.
1462223803,Male,No,36,Yes,Fashion Designer,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462223225,Male,No,41,Yes,Fashion Designer,,Low,3,Dog_6,The specimen is reliable and experienced.
1462219149,Male,Yes,69,Yes,Fashion Designer,0,Average,3,Dog_6,The specimen is reliable and experienced.
1462221589,Female,Yes,75,Yes,Lawyer,3,High,2,Dog_6,The specimen is reliable and experienced.
1462225715,Male,Yes,58,No,HR,12,High,2,Dog_6,The specimen is reliable and experienced.
1462225021,Male,No,33,No,Scientist,1,Low,6,Dog_4,The specimen is reliable and experienced.
1462225129,Female,Yes,66,No,Lawyer,,High,2,Dog_4,The specimen is reliable and experienced.
1462222981,Male,No,20,,Doctor,0,Low,3,Dog_6,The specimen is responsible and hardworking.
1462224317,Female,Yes,46,No,Scientist,8,Low,1,Dog_6,The specimen is reliable and experienced.
1462225093,Female,No,40,No,Content Creation,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462218724,Female,Yes,25,Yes,Doctor,1,High,4,Dog_4,The specimen is responsible and hardworking.
1462225747,Female,No,25,No,Content Creation,1,Low,2,Dog_6,The specimen is responsible and hardworking.
1462224593,Male,No,31,Yes,Doctor,0,Low,2,Dog_4,The specimen is reliable and experienced.
1462221660,Male,No,31,Yes,Doctor,14,Low,4,Dog_6,The specimen is reliable and experienced.
1462224573,Male,Yes,65,Yes,Lawyer,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462218644,Male,Yes,37,No,HR,0,Average,5,Dog_6,The specimen is reliable and experienced.
1462225679,Female,Yes,35,Yes,Fashion Designer,0,Average,3,Dog_6,The specimen is reliable and experienced.
1462221570,Male,Yes,47,No,Fashion Designer,0,Low,2,Dog_6,The specimen is reliable and experienced.
1462226301,Male,No,23,No,Doctor,0,,5,Dog_3,The specimen is responsible and hardworking.
1462222985,Female,Yes,81,Yes,Lawyer,1,High,2,Dog_6,The specimen is reliable and experienced.
1462221667,Male,No,33,No,Scientist,2,Low,4,Dog_6,The specimen is reliable and experienced.
1462219155,Female,Yes,71,No,Lawyer,1,High,3,Dog_6,The specimen is reliable and experienced.
1462219574,Male,No,21,No,,7,Low,,Dog_3,The specimen is responsible and hardworking.
1462221728,Male,No,27,Yes,Singer,0,Low,4,Dog_2,The specimen is responsible and hardworking.
1462219556,Female,No,33,Yes,Scientist,0,Low,3,Dog_6,The specimen is reliable and experienced.
1462223249,Male,No,18,No,Singer,0,Low,5,Dog_6,The specimen is rather joyful than responsible.
1462222454,Female,No,28,No,Fashion Designer,5,Low,5,Dog_3,The specimen is responsible and hardworking.
1462221701,Male,Yes,19,No,HR,0,High,3,Dog_4,The specimen is rather joyful than responsible.
1462223766,Female,No,25,Yes,Scientist,0,Low,1,Dog_4,The specimen is responsible and hardworking.
1462222540,Male,Yes,72,Yes,Fashion Designer,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462223798,Male,Yes,35,,Singer,1,High,2,Dog_6,The specimen is reliable and experienced.
1462219125,Female,No,19,No,Doctor,0,Low,3,Dog_6,The specimen is rather joyful than responsible.
1462221921,Male,Yes,43,No,Scientist,0,Average,2,Dog_1,The specimen is reliable and experienced.
1462223841,Male,No,23,No,Scientist,0,Low,4,Dog_6,The specimen is responsible and hardworking.
1462220768,Male,No,28,No,Scientist,,Low,1,Dog_6,The specimen is responsible and hardworking.
1462226227,Female,No,33,No,Content Creation,1,Low,9,Dog_6,The specimen is reliable and experienced.
1462221046,Male,No,41,Yes,Fashion Designer,9,Low,2,Dog_6,The specimen is reliable and experienced.
1462224326,Male,Yes,50,Yes,HR,,High,6,Dog_6,The specimen is reliable and experienced.
1462223187,Male,Yes,38,Yes,Fashion Designer,4,Average,3,Dog_6,The specimen is reliable and experienced.
1462221335,Male,Yes,52,Yes,Content Creation,1,High,4,Dog_6,The specimen is reliable and experienced.
1462219420,Female,No,32,Yes,Fashion Designer,9,Low,1,Dog_6,The specimen is reliable and experienced.
1462222603,Male,No,26,No,Scientist,0,Low,2,Dog_6,The specimen is responsible and hardworking.
1462224717,Female,Yes,55,No,Fashion Designer,1,Low,2,Dog_3,The specimen is reliable and experienced.
1462218796,Male,Yes,36,No,Scientist,6,Low,3,Dog_6,The specimen is reliable and experienced.
1462222722,Male,Yes,33,Yes,Scientist,0,Average,2,Dog_6,The specimen is reliable and experienced.
1462219321,Female,No,20,No,Doctor,0,Low,,Dog_6,The specimen is responsible and hardworking.
1462226197,Female,Yes,39,No,Fashion Designer,0,Average,4,,The specimen is reliable and experienced.
1462223263,Female,No,27,Yes,Housewife,6,Low,7,Dog_6,The specimen is responsible and hardworking.
1462219459,Male,No,31,Yes,Scientist,1,Low,2,Dog_6,The specimen is reliable and experienced.
1462224186,Male,No,18,No,Doctor,,Low,3,Dog_6,The specimen is rather joyful than responsible.
1462223136,Female,Yes,78,No,Lawyer,1,High,2,Dog_6,The specimen is reliable and experienced.
1462222140,Female,Yes,27,No,Scientist,9,Low,2,Dog_3,The specimen is responsible and hardworking.
1462221152,Female,Yes,88,Yes,Lawyer,1,High,2,Dog_6,The specimen is reliable and experienced.
